destino,tipo,km,km_estimado,km_destapados,ruta,tamano,capacidad_desde,capacidad_hasta,precio_ida,precio_ida_vuelta
ABEJORRAL,DESTINO,108,0,,"Med,La ceja,La union,Mesopotamia.51 Kms.",12 PX,12,12,947418,1349142
ABEJORRAL,DESTINO,108,0,,"Med,La ceja,La union,Mesopotamia.51 Kms.",14 PX,14,14,1017597,1449078
ABEJORRAL,DESTINO,108,0,,"Med,La ceja,La union,Mesopotamia.51 Kms.",16 PX,16,16,1111169,1582327
ABEJORRAL,DESTINO,108,0,,"Med,La ceja,La union,Mesopotamia.51 Kms.",19 PX,19,19,1239830,1611780
ABEJORRAL,DESTINO,108,0,,"Med,La ceja,La union,Mesopotamia.51 Kms.",22-25 PX,22,25,1590726,2067944
ABEJORRAL,DESTINO,108,0,,"Med,La ceja,La union,Mesopotamia.51 Kms.",30-42 PX,30,42,2035193,2645751
ABRIAQUI,DESTINO,185,0,80,"Med, C. gordas,Frontino80Kmdest",12 PX,12,12,1754477,2498410
ABRIAQUI,DESTINO,185,0,80,"Med, C. gordas,Frontino80Kmdest",14 PX,14,14,1918228,2731595
ABRIAQUI,DESTINO,185,0,80,"Med, C. gordas,Frontino80Kmdest",16 PX,16,16,2152158,3064717
ABRIAQUI,DESTINO,185,0,80,"Med, C. gordas,Frontino80Kmdest",19 PX,19,19,2292517,2980272
ABRIAQUI,DESTINO,185,0,80,"Med, C. gordas,Frontino80Kmdest",22-25 PX,22,25,2456268,3193148
ABRIAQUI,DESTINO,185,0,80,"Med, C. gordas,Frontino80Kmdest",30-42 PX,30,42,2889039,3755750
AEROPUERTO,DESTINO,33,0,,Via las palmas,12 PX,12,12,397681,566306
AEROPUERTO,DESTINO,33,0,,Via las palmas,14 PX,14,14,432771,616275
AEROPUERTO,DESTINO,33,0,,Via las palmas,16 PX,16,16,491254,699555
AEROPUERTO,DESTINO,33,0,,Via las palmas,19 PX,19,19,538040,699451
AEROPUERTO,DESTINO,33,0,,Via las palmas,22-25 PX,22,25,608219,790684
AEROPUERTO,DESTINO,33,0,,Via las palmas,30-42 PX,30,42,748577,973150
AGUADAS (ANT),DESTINO,134,0,,"Medellín, Versalles, Pintada",12 PX,12,12,1029293,1465734
AGUADAS (ANT),DESTINO,134,0,,"Medellín, Versalles, Pintada",14 PX,14,14,1134562,1615639
AGUADAS (ANT),DESTINO,134,0,,"Medellín, Versalles, Pintada",16 PX,16,16,1239830,1765543
AGUADAS (ANT),DESTINO,134,0,,"Medellín, Versalles, Pintada",19 PX,19,19,1310009,1703012
AGUADAS (ANT),DESTINO,134,0,,"Medellín, Versalles, Pintada",22-25 PX,22,25,1403582,1824656
AGUADAS (ANT),DESTINO,134,0,,"Medellín, Versalles, Pintada",30-42 PX,30,42,1660905,2159176
AGUADAS (CALDAS),DESTINO,126,1,,"Medellín, Pintada, Rio Arma",12 PX,12,12,935721,1332485
AGUADAS (CALDAS),DESTINO,126,1,,"Medellín, Pintada, Rio Arma",14 PX,14,14,1134562,1615639
AGUADAS (CALDAS),DESTINO,126,1,,"Medellín, Pintada, Rio Arma",16 PX,16,16,1239830,1765543
AGUADAS (CALDAS),DESTINO,126,1,,"Medellín, Pintada, Rio Arma",19 PX,19,19,1520547,1976711
AGUADAS (CALDAS),DESTINO,126,1,,"Medellín, Pintada, Rio Arma",22-25 PX,22,25,1637512,2128765
AGUADAS (CALDAS),DESTINO,126,1,,"Medellín, Pintada, Rio Arma",30-42 PX,30,42,1965014,2554518
ALEJANDRIA,DESTINO,89,0,30,"Med,Barbosa o por San vicente.30 Kms dest.",12 PX,12,12,818756,1165925
ALEJANDRIA,DESTINO,89,0,30,"Med,Barbosa o por San vicente.30 Kms dest.",14 PX,14,14,888935,1265861
ALEJANDRIA,DESTINO,89,0,30,"Med,Barbosa o por San vicente.30 Kms dest.",16 PX,16,16,982507,1399110
ALEJANDRIA,DESTINO,89,0,30,"Med,Barbosa o por San vicente.30 Kms dest.",19 PX,19,19,1122865,1459725
ALEJANDRIA,DESTINO,89,0,30,"Med,Barbosa o por San vicente.30 Kms dest.",22-25 PX,22,25,1310009,1703012
ALEJANDRIA,DESTINO,89,0,30,"Med,Barbosa o por San vicente.30 Kms dest.",30-42 PX,30,42,1637512,2128765
AMAGA,DESTINO,39,0,,"Med,Caldas",12 PX,12,12,491254,699555
AMAGA,DESTINO,39,0,,"Med,Caldas",14 PX,14,14,538040,766179
AMAGA,DESTINO,39,0,,"Med,Caldas",16 PX,16,16,619915,882772
AMAGA,DESTINO,39,0,,"Med,Caldas",19 PX,19,19,666701,866712
AMAGA,DESTINO,39,0,,"Med,Caldas",22-25 PX,22,25,748577,973150
AMAGA,DESTINO,39,0,,"Med,Caldas",30-42 PX,30,42,865542,1125205
AMALFI (SOFIA),DESTINO,147,0,60,"Med,Barbosa,Porce.60 Kms dest",12 PX,12,12,1216437,1732231
AMALFI (SOFIA),DESTINO,147,0,60,"Med,Barbosa,Porce.60 Kms dest",14 PX,14,14,1345099,1915448
AMALFI (SOFIA),DESTINO,147,0,60,"Med,Barbosa,Porce.60 Kms dest",16 PX,16,16,1485457,2115321
AMALFI (SOFIA),DESTINO,147,0,60,"Med,Barbosa,Porce.60 Kms dest",19 PX,19,19,1602422,2083149
AMALFI (SOFIA),DESTINO,147,0,60,"Med,Barbosa,Porce.60 Kms dest",22-25 PX,22,25,1754477,2280820
AMALFI (SOFIA),DESTINO,147,0,60,"Med,Barbosa,Porce.60 Kms dest",30-42 PX,30,42,2222337,2889039
ANDES,DESTINO,119,0,,"Med,Caldas,Amaga,Bolombol o,Hispania",12 PX,12,12,959114,1365798
ANDES,DESTINO,119,0,,"Med,Caldas,Amaga,Bolombol o,Hispania",14 PX,14,14,1076079,1532358
ANDES,DESTINO,119,0,,"Med,Caldas,Amaga,Bolombol o,Hispania",16 PX,16,16,1193044,1698919
ANDES,DESTINO,119,0,,"Med,Caldas,Amaga,Bolombol o,Hispania",19 PX,19,19,1310009,1703012
ANDES,DESTINO,119,0,,"Med,Caldas,Amaga,Bolombol o,Hispania",22-25 PX,22,25,1473761,1915889
ANDES,DESTINO,119,0,,"Med,Caldas,Amaga,Bolombol o,Hispania",30-42 PX,30,42,1637512,2128765
ANGELOPOLIS,DESTINO,52,0,13,"Med,Caldas,Amaga.13 Kms dest",12 PX,12,12,526343,749523
ANGELOPOLIS,DESTINO,52,0,13,"Med,Caldas,Amaga.13 Kms dest",14 PX,14,14,573129,816147
ANGELOPOLIS,DESTINO,52,0,13,"Med,Caldas,Amaga.13 Kms dest",16 PX,16,16,701791,999364
ANGELOPOLIS,DESTINO,52,0,13,"Med,Caldas,Amaga.13 Kms dest",19 PX,19,19,818756,1064383
ANGELOPOLIS,DESTINO,52,0,13,"Med,Caldas,Amaga.13 Kms dest",22-25 PX,22,25,935721,1216437
ANGELOPOLIS,DESTINO,52,0,13,"Med,Caldas,Amaga.13 Kms dest",30-42 PX,30,42,1005900,1307670
ANGOSTURA-MARMATO,DESTINO,150,0,20,"Med,Don matias,Santa Rosa,Yarumal.20 Kms dest",12 PX,12,12,1029293,1465734
ANGOSTURA-MARMATO,DESTINO,150,0,20,"Med,Don matias,Santa Rosa,Yarumal.20 Kms dest",14 PX,14,14,1193044,1698919
ANGOSTURA-MARMATO,DESTINO,150,0,20,"Med,Don matias,Santa Rosa,Yarumal.20 Kms dest",16 PX,16,16,1380189,1965416
ANGOSTURA-MARMATO,DESTINO,150,0,20,"Med,Don matias,Santa Rosa,Yarumal.20 Kms dest",19 PX,19,19,1520547,1976711
ANGOSTURA-MARMATO,DESTINO,150,0,20,"Med,Don matias,Santa Rosa,Yarumal.20 Kms dest",22-25 PX,22,25,1684298,2189587
ANGOSTURA-MARMATO,DESTINO,150,0,20,"Med,Don matias,Santa Rosa,Yarumal.20 Kms dest",30-42 PX,30,42,1777870,2311231
ANORI,DESTINO,175,0,90,"Med,Barbosa,Porce.90 Kms dest",12 PX,12,12,1695994,2415130
ANORI,DESTINO,175,0,90,"Med,Barbosa,Porce.90 Kms dest",14 PX,14,14,1801263,2565035
ANORI,DESTINO,175,0,90,"Med,Barbosa,Porce.90 Kms dest",16 PX,16,16,1988407,2831532
ANORI,DESTINO,175,0,90,"Med,Barbosa,Porce.90 Kms dest",19 PX,19,19,2269124,2949861
ANORI,DESTINO,175,0,90,"Med,Barbosa,Porce.90 Kms dest",22-25 PX,22,25,2526447,3284381
ANORI,DESTINO,175,0,90,"Med,Barbosa,Porce.90 Kms dest",30-42 PX,30,42,2690198,3497257
ANSERMA,DESTINO,204,0,,"Med, Supia, Riosucio",12 PX,12,12,1345099,1915448
ANSERMA,DESTINO,204,0,,"Med, Supia, Riosucio",14 PX,14,14,1426975,2032040
ANSERMA,DESTINO,204,0,,"Med, Supia, Riosucio",16 PX,16,16,1532243,2181945
ANSERMA,DESTINO,204,0,,"Med, Supia, Riosucio",19 PX,19,19,1672601,2174382
ANSERMA,DESTINO,204,0,,"Med, Supia, Riosucio",22-25 PX,22,25,1836353,2387258
ANSERMA,DESTINO,204,0,,"Med, Supia, Riosucio",30-42 PX,30,42,2222337,2889039
ANZA,DESTINO,107,0,,"Med,San jeronimo,Antioquia. Otra ruta por Bolombolo",12 PX,12,12,912328,1299173
ANZA,DESTINO,107,0,,"Med,San jeronimo,Antioquia. Otra ruta por Bolombolo",14 PX,14,14,994204,1415766
ANZA,DESTINO,107,0,,"Med,San jeronimo,Antioquia. Otra ruta por Bolombolo",16 PX,16,16,1146258,1632295
ANZA,DESTINO,107,0,,"Med,San jeronimo,Antioquia. Otra ruta por Bolombolo",19 PX,19,19,1310009,1703012
ANZA,DESTINO,107,0,,"Med,San jeronimo,Antioquia. Otra ruta por Bolombolo",22-25 PX,22,25,1590726,2067944
ANZA,DESTINO,107,0,,"Med,San jeronimo,Antioquia. Otra ruta por Bolombolo",30-42 PX,30,42,1988407,2584929
APARTADO,DESTINO,316,0,,"Med,Antioquia,Cañasgordas,D abeiba,Mutata,Chigorodo",12 PX,12,12,2924128,4164017
APARTADO,DESTINO,316,0,,"Med,Antioquia,Cañasgordas,D abeiba,Mutata,Chigorodo",14 PX,14,14,3087879,4397202
APARTADO,DESTINO,316,0,,"Med,Antioquia,Cañasgordas,D abeiba,Mutata,Chigorodo",16 PX,16,16,3298417,4697011
APARTADO,DESTINO,316,0,,"Med,Antioquia,Cañasgordas,D abeiba,Mutata,Chigorodo",19 PX,19,19,3462168,4500818
APARTADO,DESTINO,316,0,,"Med,Antioquia,Cañasgordas,D abeiba,Mutata,Chigorodo",22-25 PX,22,25,4093780,5321913
APARTADO,DESTINO,316,0,,"Med,Antioquia,Cañasgordas,D abeiba,Mutata,Chigorodo",30-42 PX,30,42,4678605,6082187
ARBOLETES,DESTINO,473,0,,"Med,Monteria, Otra ruta por Uraba",12 PX,12,12,3380292,4813604
ARBOLETES,DESTINO,473,0,,"Med,Monteria, Otra ruta por Uraba",14 PX,14,14,3625919,5163381
ARBOLETES,DESTINO,473,0,,"Med,Monteria, Otra ruta por Uraba",16 PX,16,16,3976814,5663063
ARBOLETES,DESTINO,473,0,,"Med,Monteria, Otra ruta por Uraba",19 PX,19,19,4444675,5778077
ARBOLETES,DESTINO,473,0,,"Med,Monteria, Otra ruta por Uraba",22-25 PX,22,25,4865749,6325474
ARBOLETES,DESTINO,473,0,,"Med,Monteria, Otra ruta por Uraba",30-42 PX,30,42,5614326,7298624
ARGELIA,DESTINO,149,0,92,"Med,La ceja,La union,Sonson.92 Kms dest",12 PX,12,12,1380189,1965416
ARGELIA,DESTINO,149,0,92,"Med,La ceja,La union,Sonson.92 Kms dest",14 PX,14,14,1426975,2032040
ARGELIA,DESTINO,149,0,92,"Med,La ceja,La union,Sonson.92 Kms dest",16 PX,16,16,1508850,2148633
ARGELIA,DESTINO,149,0,92,"Med,La ceja,La union,Sonson.92 Kms dest",19 PX,19,19,1684298,2189587
ARGELIA,DESTINO,149,0,92,"Med,La ceja,La union,Sonson.92 Kms dest",22-25 PX,22,25,1836353,2387258
ARGELIA,DESTINO,149,0,92,"Med,La ceja,La union,Sonson.92 Kms dest",30-42 PX,30,42,2350999,3056299
ARMENIA (ANT),DESTINO,51,0,30,"Med,San antonio de prado.30 Kms dest",12 PX,12,12,631612,899428
ARMENIA (ANT),DESTINO,51,0,30,"Med,San antonio de prado.30 Kms dest",14 PX,14,14,783666,1115957
ARMENIA (ANT),DESTINO,51,0,30,"Med,San antonio de prado.30 Kms dest",16 PX,16,16,842149,1199237
